Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1613,2688,40,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,3227,5378,40,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,4086,6810,40,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1508,2513,40,На складе
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1415,1814,22,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1925,3209,40,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2689,4482,40,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1841,3069,40,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,1256,2093,40,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1772,2427,27,На складе
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,838,1397,40,На складе
Visual FoxPro 9.0. Учебный курс,Мусина Т.В.,Корона-Принт,507,845,40,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,2177,3628,40,Ограничено
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,1088,1813,40,На складе
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,1423,2372,40,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,1004,1674,40,На складе
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1172,1953,40,Ограничено
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1841,3069,40,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,697,1162,40,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,1508,2513,40,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2735,3506,22,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,2345,3908,40,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1676,2794,40,На складе
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,1423,2372,40,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1676,2793,40,На складе
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,1423,2372,40,На складе
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,2177,3628,40,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,1256,2093,40,На складе
Программирование в Clojure. Практика применения Lisp в мире Java,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,2848,4746,40,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,922,1536,40,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,669,1115,40,На складе
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,2009,3349,40,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1676,2793,40,На складе
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,Корона-Принт,845,1408,40,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1508,2513,40,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1201,2001,40,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,1340,2233,40,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,1508,2513,40,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,562,937,40,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,443,739,40,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1676,2793,40,На складе
Программирование для AutoCAD 2013-2015,Полещук Николай Николаевич,ДМК-Пресс:САПР от А до Я,922,1536,40,На складе
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,1256,2093,40,На складе
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1423,2372,40,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,586,976,40,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,1126,1876,40,Ограничено
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1676,2793,40,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,1257,Нет старого прайса,Нет скидки,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,601,Нет старого прайса,Нет скидки,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,669,1115,40,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1676,2793,40,Ограничено
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,1004,1674,40,На складе
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1340,2233,40,Ограничено
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1340,2233,40,На складе
.NET Сетевое программирование,Кумар Винод и др.,Лори,1049,1749,40,На складе
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,669,1115,40,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,928,1546,40,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,1088,1813,40,На складе
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,837,1395,40,На складе
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,267,445,40,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,1004,1674,40,На складе
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,699,1165,40,Ограничено
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,1172,1953,40,Ограничено
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,768,1280,40,Ограничено
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер:Классика computer science,2830,3628,22,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,625,1042,40,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,1285,2142,40,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,1172,1953,40,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1508,2513,40,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,450,750,40,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,395,658,40,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,2680,4466,40,На складе
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,1508,2513,40,На складе
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2512,4187,40,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,1340,2233,40,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,1423,2372,40,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,1678,2797,40,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,1423,2372,40,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,1508,2513,40,На складе
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,1841,3069,40,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,4086,6810,40,Ограничено
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,754,1256,40,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1841,3069,40,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,1256,2093,40,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,1591,2652,40,На складе
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,1340,2233,40,На складе
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,1508,2513,40,На складе
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,2093,3489,40,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,2345,3908,40,Ограничено
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,2009,3349,40,На складе
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,837,1395,40,На складе
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,1423,2372,40,На складе
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,2009,3349,40,Ограничено
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,1172,1953,40,На складе
Численные методы анализа и линейной алгебры. Использование Matlab и Scilab. Учебное пособие,Квасов Борис Ильич,Лань:Учебники для вузов. Специальная литература,1567,2611,40,Ограничено
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,2177,3628,40,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,646,1077,40,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1508,2513,40,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,837,1395,40,На складе
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,282,470,40,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,753,1255,40,Ограничено
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1613,2688,40,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1936,3227,40,На складе
Java EE 7. Основы,Гупта Арун,Вильямс,968,1613,40,Ограничено
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,968,1613,40,На складе
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1613,2688,40,Ограничено
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3227,5378,40,Ограничено
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1613,2688,40,На складе
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1291,2152,40,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,323,539,40,Ограничено
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,538,896,40,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2474,4123,40,Ограничено
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,1340,2233,40,На складе
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,236,394,40,На складе
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,515,858,40,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1262,2103,40,Ограничено
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1198,1996,40,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1331,2218,40,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,1256,2093,40,На складе
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1172,1953,40,На складе
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,1340,2233,40,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,1088,1813,40,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,1340,2233,40,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,673,922,27,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,223,372,40,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1919,3198,40,Ограничено
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,1088,1813,40,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1985,2545,22,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,1600,2667,40,На складе
Практическое введение в язык программирования Си. Учебное пособие,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Учебники для вузов. Специальная литература,1184,1973,40,Ограничено
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,2009,3349,40,На складе
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1936,3227,40,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,1172,1953,40,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,4840,8066,40,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,1291,2152,40,На складе
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,5699,9498,40,Ограничено
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,5699,9498,40,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,5699,9498,40,На складе
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,4086,6810,40,На складе
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4840,8066,40,На складе
Веб-программирование для чайников,Никхил Абрахам,"Диалектика:Для ""чайников""",1936,3227,40,На складе
Язык программирования Go,"Керниган Брайан, Донован Алан А. А.",Диалектика,2474,4123,40,На складе
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1613,2688,40,Ограничено
Java. Полное руководство,Шилдт Герберт,Вильямс,5914,9856,40,На складе
Исследование операций,Таха Хемди А.,Диалектика,4840,8066,40,Ограничено
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,968,1613,40,Ограничено
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,4086,6810,40,На складе
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1841,3069,40,На складе
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,1172,1953,40,На складе
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,ДМК-Пресс,1340,2233,40,На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,2637,3381,22,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,1016,Нет старого прайса,Нет скидки,На складе
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1591,2652,40,На складе
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,809,Нет старого прайса,Нет скидки,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1738,2228,22,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,2377,3047,22,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,2345,3908,40,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1340,2233,40,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,1004,1674,40,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,2009,3349,40,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1548,1985,22,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1508,2513,40,На складе
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1340,2233,40,На складе
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,2093,3489,40,На складе
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,5914,9856,40,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1117,1861,40,Ограничено
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1256,2093,40,На складе
Математика на Python. Часть 1. Элементы линейной алгебры,Александрова Ирина Александровна и др.,Прометей,484,807,40,На складе
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,565,941,40,На складе
Вскрытие покажет! Практический анализ вредоносного ПО,"Сикорски Майкл, Хониг Эндрю",Питер:Для профессионалов,2625,3365,22,Ограничено
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,2209,2832,22,На складе
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1676,2793,40,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,1048,1747,40,Ограничено
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1124,1540,27,На складе
Алгоритмы для чайников,"Массарон Лука, Мюллер Джон Пол","Диалектика:Для ""чайников""",1936,3227,40,Ограничено
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1974,2531,22,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,1758,2254,22,На складе
C# 7.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Диалектика,4086,6810,40,Ограничено
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,4086,6810,40,На складе
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,1256,2093,40,На складе
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,3184,5306,40,На складе
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,959,Нет старого прайса,Нет скидки,На складе
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1340,2233,40,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,909,Нет старого прайса,Нет скидки,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,1172,1953,40,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,956,1593,40,На складе
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,2009,3349,40,На складе
Power BI. Передовые методы оптимизации,Мерчант Бхавик,ДМК-Пресс,2345,3908,40,На складе
"Разработка веб-приложений GraphQL с React, Node.js и Neo4j",Лион Уильям,ДМК-Пресс,2512,4187,40,На складе
Основы алгоритмизации и программирования на Python. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3210,5350,40,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,2070,2654,22,На складе
Объекты. Стильное ООП,Нобак Маттиас,Питер:Библиотека программиста,2086,Нет старого прайса,Нет скидки,На складе
Kafka Streams и ksqlDB. Данные в реальном времени,Сеймур Митч,Питер:Библиотека программиста,2397,3073,22,На складе
Алгоритмы на практике. Решение реальных задач,Зингаро Даниэль,Питер:Библиотека программиста,2030,Нет старого прайса,Нет скидки,На складе
Современная программная инженерия. ПО в эпоху эджайла и непрерывного развертывания,Фарли Дэвид,Питер:Для профессионалов,2310,Нет старого прайса,Нет скидки,На складе
Внутри Cpython. Гид по интерпретатору Python,Шоу Энтони,Питер:Библиотека программиста,1946,Нет старого прайса,Нет скидки,На складе
"40 алгоритмов, которые должен знать каждый программист на Python",Ахмад Имран,Питер:Библиотека программиста,1925,Нет старого прайса,Нет скидки,На складе
Грокаем функциональное мышление,Норманд Эрик,Питер:Библиотека программиста,2519,Нет старого прайса,Нет скидки,На складе
Основы Python для Data Science,Берман Кеннеди,Питер:Библиотека программиста,2086,Нет старого прайса,Нет скидки,На складе
Фундаментальные основы хакерства. Анализ программ в среде Win64,"Касперски Крис, Язев Юрий Евгеньевич",Солон-пресс:Программирование,3184,5307,40,На складе
Основы компьютерного моделирования и визуализации + Электронное приложение,Борзяк Андрей Александрович и др.,Лань:Компьютеры и программное обеспечение,4526,7543,40,На складе
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид,Шуваев Ярослав Александрович,Бомбора:Библиотека цифровой трансформации,1219,1670,27,На складе
Грокаем алгоритмы искусственного интеллекта,Харбанс Ришал,Питер:Библиотека программиста,1708,Нет старого прайса,Нет скидки,На складе
Сделай видеоигру один и не свихнись,Грис Слава,АСТ:Видеоигры: глубокое погружение,669,916,27,На складе
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,"Максименкова Ольга Вениаминовна, Веселко Никита И.",Бомбора:Российский компьютерный бестселлер,1862,2551,27,На складе
C# 10 и .NET 6. Современная кросс-платформенная разработка,Прайс Марк Дж.,Питер:Для профессионалов,4746,Нет старого прайса,Нет скидки,На складе
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,Альтхофф Кори,Питер:Библиотека программиста,1393,Нет старого прайса,Нет скидки,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,3795,4865,22,На складе
Head First. Изучаем Swift,"Мэннинг Джон, Баттфилд-Эддисон Пэрис",Питер:Head First (O'Reilly),2807,3599,22,На складе
Kubernetes изнутри,"Вьяс Джей, Лав Крис",ДМК-Пресс,2512,4187,40,На складе
С++ 20 в деталях,Райнер Гримм,ДМК-Пресс,3016,5026,40,На складе
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",Орланд Пол,Питер:Библиотека программиста,3430,Нет старого прайса,Нет скидки,На складе
Pandas в действии,Пасхавер Борис,Питер:Библиотека программиста,2738,3510,22,На складе
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2264,3774,40,На складе
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие,Матвеев Александр Иванович,Лань:Компьютеры и программное обеспечение,905,1508,40,Ограничено
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2264,3774,40,Ограничено
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,2242,3737,40,На складе
Java. Полное руководство,Шилдт Герберт,Вильямс,4086,6810,40,На складе
JavaScript для начинающих,МакГрат Майк,Бомбора:Мировой компьютерный бестселлер (обложка),923,1264,27,На складе
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Дабасс Элиас,ДМК-Пресс,2177,3628,40,На складе
Kotlin. Программирование для профессионалов,Скин Джош и др.,Питер:Для профессионалов,2859,3665,22,На складе
Тестирование JavaScript,Коста Лукас да,Питер:Библиотека программиста,2547,3265,22,На складе
Программируем на Java,Лой Марк и др.,Питер:Бестселлеры O`Reilly,2836,3636,22,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,1960,3266,40,Ограничено
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,ДМК-Пресс,2848,4746,40,На складе
